Column1,reviewId,content,topic_openai,topic_category,app
0,00885280-2fda-46bf-9c24-142c644ab106,"Used to be great. They changed my card and I had to change some stuff in the app. Suddenly Im getting billed for their biggest XL plan which I absolutely did NOT sign up for. I don't need a single thing the XL plan offers. Never used it. Never will. Costumer ""service"" was unhelpful as well. Very very sneaky. I'm back to using competitors. Peace",trust,trust_ethics,Bunq
1,962be690-af75-4f76-94d4-76328aeeab83,"Very expensive, the plan costs more than brick and mortar banks which have rents to pay. There are also a huge amount of bugs.",affordable,quality_usability,Bunq
2,a1730aab-1933-4b0c-8476-038583b54903,"First I give 1 star because I had problem with registration, now I give you only 3 stars because you resolve my problem only because I gave you a bad rating",service,user_centricity_support,Bunq
3,7c32fad5-4eed-496d-bc51-a34905b8a22c,Great application It really work for me,functionality,quality_usability,Bunq
4,aa8542cc-3282-4dd0-911c-dddac3d3a844,"Very good service, thank you.",service,user_centricity_support,Bunq
5,954affb7-0fc0-45d6-b78a-9dd8b2d498bd,"Bunq is a terrible, terrible bank with no support team at all. I would strongly advise to go to a different bank, like Revolut for example.",support,user_centricity_support,Bunq
6,b5285372-5f7f-4a92-8bd4-2c4698a68f6e,I give 5?,quality,quality_usability,Bunq
7,e5e81ed1-8e8d-4f99-93d6-64e6b776350b,"I like the app. Many good features. Easy to use. But the support in the bank is awful. Tried to reach out to them and every time got a message from the bot with some common information. I also tried to make an urgent request to support which you can do only once a month hoping to talk to a human, but got a message from the bot again. The bot doesn't respond. Unfortunately I have to change the bank as support is super important also. Not only a good-looking and easy to use app and a website.",support,user_centricity_support,Bunq
8,bca6ce03-e07c-4dd9-bdea-7e035d36c650,One of the best mobile banking apps. It help me to make some budget plans and earn some money. Highly recommended to everyone!,earn,growth_ambition,Bunq
9,059fe035-06d2-41a8-a60c-b2ff7cab4e38,"cant be used as a primary bank, you can only top it up with other European banks and it has no physical card, so it doesnt really work for expats. Verification process takes over a day, also not too friendly. Forced subscription just kills it for me. And they cant validate my account in 2 days. Dont bother looking into it",accessibility,quality_usability,Bunq
10,380cf9ab-27dc-4f6a-bfa4-6a042c4313dc,Keeps staying stuck on black loading screen when logging in and verify now screen.....,usability,quality_usability,Bunq
11,071290b5-5657-4aa7-bf7b-4725cf9af54a,awesome bank instant credit n sending no issues,realtime,innovation_technology,Bunq
12,18e7dea5-0c4e-4db5-92d4-bb05d78075b8,More than satisfied,,,Bunq
13,da82c0bd-3d2e-4b92-baa4-05f547de8cc4,Mon banq very good and so easy ??????,easy,quality_usability,Bunq
14,d063ae61-723f-49c6-bd4e-8276fdaac33d,"Account closed by them. There's no reason, no explanation. I'm not able to speak to anyone. I am not able to get a final statement of account. I only opened the account during June 2023. Don't waste your time with this bank.",transparency,trust_ethics,Bunq
15,da4faae3-6d92-4468-9c2c-c6e02dd12d0c,Excellent!,quality,quality_usability,Bunq
16,1b1551b5-76d8-4162-a420-e3d0e22b1781,"Does a lot while being very unpolished. Why are new features appearing like a points system, wheel of forture and community stuff while the fundamental parts of the app have issues? Infinitely spinning payments after accepting them, changing the category changes the selected payment account on transactions, the barebones search, the list goes on. Bunq does a lot of things right, and I wish they would focus on being bug free before upselling to frustrated customers.",functionality,quality_usability,Bunq
17,ea9d2f1f-2529-4ec2-b009-73c2231b4d51,"It's been amazing, even though I have an ING account,I use bunq for everything. The app is amazing and the fraud detection is great too. The best thing is it asks for permission for direct debits.",security,trust_ethics,Bunq
18,987c0e26-5167-42ba-b005-b8f9ab183559,"It's a very disheartened experience, after I completed my registration they couldn't verify my identity with my valid I'd.",,,Bunq
19,6a7bf17d-9227-4f65-aacf-3828a9430ae8,This is the best app ever,experience,user_centricity_support,Bunq
20,d59d1809-3789-4854-bac0-b9dd92d689bb,That it sounds like My name Bruna. And it's easy to get things done.,easy,quality_usability,Bunq
21,457ca67e-6c94-438e-8c77-3b9823d95068,delighted with Bung. easy to negotiate system and interest into my account every Friday,easy,quality_usability,Bunq
22,a7b6ce99-731b-4113-a6cb-2a571f1dee5e,"Love this bank Great app, with lots of options and total control of your money the way you would like to have it.",control,empowerment_control,Bunq
23,dcce1661-3fd5-44e3-af68-18dff32809df,????,experience,user_centricity_support,Bunq
