Column1;reviewId;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt;appVersion;app;content_tockens;content_cleaned;openai_topic;topic_category
1501;04843bd2-ecc2-412e-92b9-64a1c23b1592;If there was zero stars or negative, I would have given that. There was a fraudulent transaction in my account for 300 EUR. I informed the bank in a couple of minutes after the transaction was made and therefore I expected some protection from n26. But they immediately refused to refund the transaction. I lost money for nothing to frauds and N26 didn't seem to care one bit about it. I have since then removed most of my money from N26 to other banks which have much better protection laws.;1;5;416;24/12/2024 17:33;Hey Shruti, we're sorry to hear that this process has been frustrating for you. We investigate disputes in line with the Mastercard Chargeback Guide. If your dispute was rejected and you feel that's incorrect, you can make a complaint to support@n26.com. Best, Bella, N26 Team.;06/01/2025 19:19;416;N26;['zero', 'stars', 'negative', 'would', 'given', 'fraudulent', 'transaction', 'account', '300', 'eur', 'informed', 'bank', 'couple', 'minutes', 'transaction', 'made', 'therefore', 'expected', 'protection', 'n26', 'immediately', 'refused', 'refund', 'transaction', 'lost', 'money', 'nothing', 'frauds', 'n26', 'didnt', 'seem', 'care', 'one', 'bit', 'since', 'removed', 'money', 'n26', 'banks', 'much', 'better', 'protection', 'laws'];if there was zero stars or negative i would have given that there was a fraudulent transaction in my account for 300 eur i informed the bank in a couple of minutes after the transaction was made and therefore i expected some protection from n26 but they immediately refused to refund the transaction i lost money for nothing to frauds and n26 didnt seem to care one bit about it i have since then removed most of my money from n26 to other banks which have much better protection laws;protection;user_centricity
2586;3c61f3c5-b427-4719-8402-b83869ce0af2;All good;5;0;10882;21/07/2025 00:26;;;10882;Revolut;['good'];all good;satisfaction;user_centricity
2653;e09cfb7a-eabf-43e9-b0de-5fc49c7eca7b;I can't sign it anymore due to new detection system;1;0;1070;20/07/2025 08:38;Hi there. We're sorry to hear about this. Our security protocols are designed to work best with standard operating systems, and custom ROMs or rooted devices can sometimes lead to unexpected behaviour, including app crashes. However, we would like to take a closer look into this, please email us at help@revolut.com, and we'd do our best to help.;20/07/2025 09:01;1070;Revolut;['cant', 'sign', 'anymore', 'due', 'new', 'detection', 'system'];i cant sign it anymore due to new detection system;control;empowerment
1055;782f7384-d030-4e60-871b-3f80cde8ba48;I am very satisfied with the support and understanding regarding everything. I thank you very much to all with the N26. Truly yours, PAVLOVIC Bozidar;5;0;4291;09/07/2025 19:08;"Hello Bozidar. Thank you for your time to share your review and your kind words! If you haven't already, follow us on our social media channels and live the experience to its fullest! You can find us on X (Twitter) or Instagram via @N26 and on the N26DACH, N26IT, N26FR, or N26ES Facebook Pages. Best Regards, Leon - Your N26 Support Team
";10/07/2025 19:03;4291;N26;['satisfied', 'support', 'understanding', 'regarding', 'everything', 'thank', 'much', 'n26', 'truly', 'pavlovic', 'bozidar'];i am very satisfied with the support and understanding regarding everything i thank you very much to all with the n26 truly yours pavlovic bozidar;satisfaction;user_centricity
705;8a404f7f-283d-4256-be4c-d337fdede97e;"this app is so ""smart"" that in dark mode the codes are inverted...";1;0;2525234;21/06/2025 20:19;Hi, we're saddened to hear that your experience fell short of expectations and we'd still like to help look further into this to make things right. Please chat with us at app.klarna.com/login or visit our website at https://www.klarna.com/us/customer-service/ to view other methods to reach our team.;21/06/2025 20:21;2525234;Klarna;['app', 'smart', 'dark', 'mode', 'codes', 'inverted'];this app is so smart that in dark mode the codes are inverted;smart;empowerment
106;c8a1c02c-bbc0-4f71-b233-b3f874666c76;Lost all my cards from stocard because of you.;1;0;;20/07/2025 14:24;Stocard ceased operations on June 30, 2025. Migration options were communicated beginning in 2024. With the migration window now closed, Stocard is no longer operational and all associated data has been securely removed. To continue managing your loyalty cards, we encourage you to install the Klarna app and upload your cards manually.;20/07/2025 14:41;;Klarna;['lost', 'cards', 'stocard'];lost all my cards from stocard because of you;reliability;quality
589;255d16af-42c8-4d55-8056-95a1420ce904;What a trash app. Was forced here from Stocard but can't register. Fail out of the box, still born piece of garbage. Let copilot code next time and fire everyone at your company.;1;0;2525234;28/06/2025 11:06;"We appreciate your feedback and sincerely apologize for any inconvenience. Your opinions are valuable to us since we are always trying to improve our services.
";28/06/2025 12:35;2525234;Klarna;['trash', 'app', 'forced', 'stocard', 'cant', 'register', 'fail', 'box', 'still', 'born', 'piece', 'garbage', 'let', 'copilot', 'code', 'next', 'time', 'fire', 'everyone', 'company'];what a trash app was forced here from stocard but cant register fail out of the box still born piece of garbage let copilot code next time and fire everyone at your company;usability;
2468;2d0901e0-3d7a-44ed-b895-3869d136faf8;very good;5;0;1087;22/07/2025 06:31;;;1087;Revolut;['good'];very good;satisfaction;user_centricity
2413;f39d3d8d-b57e-4cdc-a78e-8396b0cb3fd1;efficient and super helpful;5;0;10882;22/07/2025 16:36;;;10882;Revolut;['efficient', 'super', 'helpful'];efficient and super helpful;efficiency;quality
1600;875ea28b-54b2-4929-a8e8-e2063b90270b;Ads on the main screen;3;0;413;22/11/2024 19:19;;;413;N26;['ads', 'main', 'screen'];ads on the main screen;convenience;quality
2464;e7b06d7f-3262-4297-819f-f143123e623b;very good service;5;0;10882;22/07/2025 07:06;;;10882;Revolut;['good', 'service'];very good service;customer service;user_centricity
